Quarterly Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
GDP at current market prices,4713253,4970765,5258613,5815592,5249734,5702213,5923958,6365524,6037543,6549546,6673079,7127846,6865792,7308548,7297582,8035375,7628288,8233907,8177488,7655228,7920590,8560605,9041071,9766879,8774255,9863747,10415297,10642867,10057839,11269680,11443011,12137887,11874699,13098494,12669850.067049898,13177171.282244995,12387881.67878421,14042975.30362888,14197180.419565901,14400502.76904455
Gross Domestic Product at Constant Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,620328,742124,591693,840905,652389,774214,625028,832749,680124,800522,625821,880151,700612,823149,649630,910608,738814,873006,676872,900810,741614,891515,702787,954837,775839,912965,723494,978954,782622,952380,736673,1033912,790730,996648,769676.2831488056,1074040.4741233955,796987.5273452495,999038.8752042215,788301.5021018442,1106342.6653044738
Agriculture Forestry and Fishing,620328,742124,591693,840905,652389,774214,625028,832749,680124,800522,625821,880151,700612,823149,649630,910608,738814,873006,676872,900810,741614,891515,702787,954837,775839,912965,723494,978954,782622,952380,736673,1033912,790730,996648,769676.2831488056,1074040.4741233955,796987.5273452495,999038.8752042215,788301.5021018442,1106342.6653044738
Industry,1493363,1546095,1710852,1699091,1609428,1697095,1816221,1860999,1814054,1919726,1967994,1995531,2067665,2141980,2168530,2214743,2261796,2353093,2404740,1883835,2281060,2401537,2577398,2559494,2447820,2749495,2991408,2604119,2624184,3023208,3137560,2900540,2876946,3121076,3282069.778377035,2936818.6059065163,2898489.404506441,3263489.3020616174,3508906.5853194324,3057207.6595120565
Mining and Quarrying,71017,78675,91940,88894,81195,94717,108135,103622,97789,107320,108989,110596,109039,119733,120781,123156,117916,129726,142093,97922,114893,128671,150826,124926,111667,126089,154363,121403,125271,137597,173105,142911,131722,144877,96710.2626902317,178637.2848391281,197274.72895044327,135622.2788877858,99989.35107962454,184227.19753210942
Manufacturing ,997179,1023076,1078447,1125168,1058277,1107675,1159673,1197567,1183377,1250872,1277753,1283974,1369412,1410251,1415950,1416592,1463221,1501815,1515194,1226306,1491986,1560793,1644973,1669893,1608840,1808392,1943447,1733567,1759592,2007754,2012149,1945727,1963715,1998752,2170927.8276093537,1945869.6750559965,1915991.7099520192,2129501.234519531,2334062,2036230.7165913759
"Electricity, Gas, Steam and Air Conditioning Supply ",67932,61726,63809,73112,75749,67953,65356,76481,83302,73455,72854,79922,94026,76300,74161,90372,96805,80383,79312,81308,99123,85983,84082,100292,106022,90703,89851,112221,113497,91309,89850,105935,112977,91595,84138.32665160735,116761.66166263598,117375.39756143832,96499.72716493372,89327.78819270775,118778.46933576796
Construction ,357235,382617,476657,411917,394207,426750,483058,483329,449585,488079,508397,521040,495188,535696,557638,584622,583853,641168,668142,478299,575058,626089,697518,664384,621290,724312,803747,636927,625824,786549,862455,705966,668532,885852,930293.3614258425,695549.9843487559,667847.5680425407,901866.0614893666,985527.4460471,717971.2760528034
Services,2509278,2483121,2667043,2970383,2627198,2763950,2870989,3045337,2816667,2930215,3089274,3212367,3057190,3170680,3193502,3456068,3220223,3402729,3403704,3357236,3240687,3342970,3645457,3921965,3382447,3609392,3935875,4108750,3772595,3867867,3974842,4228805,3913455,3986318,4142650.937515307,4406473.199451659,4065771.826305626,4287460.000274215,4386310.552469715,4536829.251528766
Wholesale and Retail Trade; repair of motor vehicles,665803,703734,718383,797180,685537,793505,824998,818207,768734,850913,866466,908934,854555,918069,917162,1005823,921446,1008993,1006586,877363,897955,939734,1070635,1197571,976947,1099368,1178538,1198318,1125723,1171191,1159136,1281106,1177461,1224523,1226970.8401925587,1308109.3572794695,1207211.6670971974,1370512.793877997,1307644.7109603027,1358640.8581944646
"Transportation, Accomodation and Food Service, Information and Communication",494696,512063,524610,536124,528612,544055,561073,564164,568655,585256,592748,596360,607112,616523,636142,644811,637488,645190,661049,619004,628806,661010,705997,681918,660163,701070,729745,736203,735253,740045,753301,758033,756287,749489,786879.2075683372,799203.1803015926,789831.2244265159,804437.8172604743,813526.9662836831,834727.0797181688
Financial and Insurance Activities ,142208,155475,171587,181445,163446,164303,171903,185582,172539,176004,184639,199602,186294,194720,200600,211623,193581,205314,235540,196244,192705,210053,228344,247908,227026,229455,233319,240814,234377,236651,239679,243617,236015,240375,242743.33721175414,245032.7508297491,233092.93166212257,250384.29172418112,239821.8778432569,252087.08474933784
"Real Estate Activities Professional, Scientific and Technical Activities",518342,518985,534867,534397,537481,537702,554313,551874,554183,563873,577528,568387,573508,588719,594780,596332,595134,611507,614889,622890,623015,651607,623794,635205,628042,651685,662607,689964,671461,679084,688037,701311,691575,690477,714310.7105706164,726728.3288267456,728659.69737987,734804.3580237211,739719.8098535587,750117.5253446613
"Public Administration and Defense; compulsory, Health and Education",412341,304900,419286,621560,431500,435304,447348,607689,461317,443361,534747,636171,539475,530726,513469,667668,538568,579307,552619,741808,604357,580272,622942,786200,608746,565166,727039,886703,664106,676752,750250,882584,706604,735015,787516.0559067901,935269.7646268215,740591.5135930977,759343.1844240034,877112.6260546863,931714.7747614216
"Arts, entertainment and recreation, and Other Services ",277171,287731,297726,299208,280152,288291,312016,318421,291208,310724,333219,302957,296033,321602,331727,329969,333806,352232,333170,300164,293825,300337,394226,372665,281096,362353,404792,357305,341674,364144,384440,362153,345513,346440,384230.7860652508,392129.81758728094,366384.79214682244,367977.5549638373,408484.5614742265,409541.9287607117
Total GVA at current basic price,4622970,4771340,4969588,5510379,4889015,5235259,5312239,5739085,5310845,5650463,5683088,6088049,5825467,6135808,6011661,6581419,6220833,6628827,6485315,6141880,6263362,6636021,6925642,7436296,6606106,7271852,7650778,7691823,7179401,7843455,7849075,8163256,7581131,8104042,8194396.9990411475,8417332.279481571,7761248.758157317,8549988.177540053,8683518.639890991,8700379.576345297
Tax less subsidy,213670,221546,231065,217656,230435,240050,250744,230241,253507,265277,260171,236774,277427,260622,264262,263571,291400,269938,291200,174488,273160,280705,284268,243668,289014,311863,302334,237348,281373,306401,284401,196967,327751,353964,313506.8955727489,157024.1514616018,283219.2284799282,317768.9931078388,238178.40654101956,161079.80508891144
GDP at constant market prices,4836639,4992886,5200653,5728035,5119450,5475309,5562983,5969326,5564352,5915740,5943259,6324823,6102894,6396430,6275923,6844990,6512233,6898765,6776515,6316368,6536522,6916727,7209911,7679965,6895120,7583715,7953111,7929171,7460774,8149856,8133476,8360223,7908882,8458006,8507903.894613896,8574356.430943172,8044467.986637245,8867757.170647891,8921697.04643201,8861459.381434208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**Notes: 1st Quarter(Q1): Jan to Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd  Quarter (Q2): Apr to Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd  Quarter (Q3): Jul to Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th  Quarter (Q4): Oct to Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
