BANGLADESH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,     Mining and quarrying,0.2,…,…,0.1,…,…,0.1,…,…,…,0.1,…,…,0.231,…,…,0.092,0.097,…,…,…,…,0.055,…
,     Manufacturing,3.7,…,…,4.3,…,…,5.2,…,…,…,6.7,…,…,9.5,…,…,8.595,8.772,…,…,…,…,7.924,…
,"     Electricity, gas, steam, and air-conditioning supply; water supply;
           sewerage, waste management, and remediation activities",0.1,…,…,0.1,…,…,0.1,…,…,…,0.1,…,…,0.199,…,…,0.167,0.122,…,…,…,…,0.147,…
,     Construction,1.1,…,…,1.5,…,…,1.5,…,…,…,2.6,…,…,2.144,…,…,3.326,3.432,…,…,…,…,3.832,…
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,6.1,…,…,6.7,…,…,7.8,…,…,…,8.4,…,…,7.522,…,…,7.95,8.656,…,…,…,…,9.087,…
,     Transportation and storage,2.5,…,…,3,…,…,4,…,…,…,4,…,…,3.745,…,…,4.598,5.237,…,…,…,…,1.606,…
,     Accommodation and food service activities,…,…,…,…,…,…,…,…,…,…,…,…,…,0.871,…,…,1.003,1.158,…,…,…,…,5.747,…
,     Information and communication,…,…,…,…,…,…,…,…,…,…,…,…,…,0.144,…,…,0.179,0.168,…,…,…,…,0.254,…
,     Financial and insurance activities,0.4,…,…,0.3,…,…,0.8,…,…,…,1,…,…,0.448,…,…,0.425,0.418,…,…,…,…,0.551,…
,     Real estate activities,…,…,…,…,…,…,…,…,…,…,…,…,…,0.74,…,…,0.101,0.113,…,…,…,…,0.08,…
,     Other services,5.1,…,…,5.2,…,…,5.2,…,…,…,5.7,…,…,6.339,…,…,7.697,7.899,…,…,…,…,9.22,…
,Underemployed,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Unemployed,1.8,…,…,2,…,…,2.1,…,…,…,2.6,…,…,2.6,…,…,2.6,2.7,…,…,…,…,2.58,…
,Unemployment rate (%),4.41176,…,…,4.33839,…,…,4.23387,…,…,…,4.56942,…,…,4.3,…,…,4.2,4.2,…,…,…,…,3.53,…
,Labor force (% annual change),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Labor force participation rate (%),54.9,…,…,57.3,…,…,58.5,…,…,…,59.3,…,…,57.1,…,…,58.5,58.2,…,…,…,…,61.2,…
,     Male,84,…,…,87.4,…,…,86.8,…,…,…,82.5,…,…,81.7,…,…,81.9,80.5,…,…,…,…,80,…
,     Female,23.9,…,…,26.1,…,…,29.2,…,…,…,36,…,…,33.5,…,…,35.6,36.3,…,…,…,…,42.77,…
,,,,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS fiscal year ending 30 June (Tk billion) ,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Pricesb,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,2370.8,2535.5,2732,3005.8,3329.6,3707,4823.36966,5497.99749,6286.82174,7050.7181,7975.38743,9158.28847,10552.04011,11989.23182,13436.744,15158.022,20758.212,23243.073,26392.479,29514.288,31704.694,35301.84751,39717.16368,44908.41716
,"     Agriculture, forestry, and fishing",583.7,590.4,599,630.6,672,716.2,869.84728,979.00286,1106.21006,1205.99916,1355.90994,1539.50609,1707.06371,1857.52408,2062.758,2240.81,2795.05,3011.67,3293.802,3534.431,3804.464,4106.614077,4455.312973,4941.582675
,     Mining and quarrying,23.1,26.4,30,33.1,36.4,40.4,70.09194,78.66327,91.09888,109.62456,126.44943,142.08416,166.50432,194.61058,210.799,238.757,330.526,399.842,442.76,526.098,552.239,591.0208859,589.1621511,702.4355362
,     Manufacturing,348.4,382.3,418,458.1,515.3,588,738.34031,876.05486,1013.71025,1161.97145,1285.73035,1465.02699,1679.27499,1971.27181,2232.2,2544.831,4223.87,4666.061,5490.242,6259.374,6530.638,7496.584906,8644.36899,10033.44746
,"     Electricity, gas, steam, and air-conditioning supplyc",30.7,33.5,36.4,39.9,44.2,49.1,55.52701,57.19528,64.40698,70.11874,83.45701,109.846,134.888,156.157,175.094,188.48,245.546,292.335,326.252,381.438,445.225,449.0162674,504.1345054,552.9539926
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,6.048,7.006,7.655,8.912,10.203,21.032,22.634,24.876,26.736,27.607,29.67628916,38.09448151,43.79634435
,     Construction,176.2,193.3,211.6,230.2,254,290.6,298.24712,335.1256,385.32645,441.80471,494.73881,570.716,683.044,824.321,908.336,1084.839,1628.426,1882.191,2156.929,2502.55,2878.801,3194.898832,3696.333666,4203.106279
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesd,292,324.8,353.1,391,441,502.8,623.51659,729.70914,861.49222,960.9383,1066.06374,1213.319,1373.962,1545.794,1725.752,1925.854,2885.1,3246.32,3737.155,4183.954,4457.574,4976.516281,5670.969354,6473.665101
,     Transportation and storagee,197.4,221.3,255.2,311.1,344.4,382.9,464.97186,531.32215,596.20068,671.84707,804.54201,810.182,968.486,1068.802,1151.621,1297.588,1580.296,1787.217,1978.063,2197.115,2322.517,2562.154422,2852.715466,3240.817241
,     Accommodation and food service activitiesf,,,,,,,,,,,,82.283,97.551,112.634,130.353,149.279,238.86,266.702,301.06,335.495,360.151,398.5671241,444.5153494,511.5591657
,     Information and communicationg,,,,,,,,,,,,135.528,158.538,174.003,191.544,202.665,248.337,272.644,294.609,322.04,351.075,384.4799735,414.2217834,473.25627
,     Financial and insurance activities,36.5,39.1,42.1,47.2,52,59.3,142.15897,162.65071,187.02135,200.02725,234.47828,275.454,363.164,422.365,485.632,557.61,650.716,722.466,817.235,932.966,1032.169,1152.706002,1295.39012,1447.845261
,     Real estate activitiesh,,,,,,,,,,,,,,,,,1925.094,2141.511,2359.902,2607.154,2880.011,3130.287064,3401.816443,3734.139503
,"     Professional, scientific, and technical activitiesi",,,,,,,,,,,,601.19,687.147,788.2,912.291,1060.609,39.06,42.817,47.14,51.788,56.562,62.73224176,69.42001668,84.22703537
,     Administrative and support service activitiesj,,,,,,,,,,,,,,,,,142.438,157.215,172.688,200.172,230.048,271.3758561,311.3615291,375.0398767
,     Public administration and defense; compulsory social security,62.3,67,71.2,77.8,86.2,96.4,140.88952,171.3178,196.63585,224.64267,254.25565,302.82,334.991,376.782,447.278,506.741,667.295,784.63,902.487,990.056,1069.648,1169.964,1273.659838,1472.805906
,     Education,,,,,,,,,,,,213.92,250.477,284.293,327.673,376.24,544.789,608.58,681.642,769.606,856.425,956.4219531,1095.137956,1259.739928
,     Human health and social work activities,,,,,,,,,,,,177.312,201.327,238.683,269.238,301.352,546.003,635.152,733.648,868.11,1015.218,1185.002961,1382.069024,1615.333856
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,30.071,33.65,37.716,42.44,47.61,53.40747974,60.73749146,69.12413001
,     Other service activitiesk,537.2,571.9,618.6,679.7,749,830.2,1172.52997,1312.56213,1486.39817,1702.22189,1907.35573,1046.1,1172.932,1389.516,1565.516,1764.017,1131.8,1244.3,1367.8,1506.9,1652.5,1806.8,1998.9,2195.997995
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Gross value added at basic prices,2287.5,2450,2635.2,2898.7,3194.5,3555.9,4576.12057,5233.6038,5988.50089,6749.1958,7612.98095,8691.312,9986.356,11412.612,12805.005,14449.873,19874.27556,22217.92968,25166.034,28238.43238,30570.47717,33978.19131,38198.28555,43430.87356
,Taxes and duties on imports,83.3,85.5,96.8,107.1,135.1,151.1,247.2491,264.39369,298.32085,301.52231,362.40649,466.9,565.6,576.62,631.739,708.149,883.9367,1025.1429,1226.4452,1275.8552,1134.2173,1323.656197,1518.878124,1477.543601
,Net factor income from abroad,87.13,88.41,125.4,165.8,175.5,189.3,272.075,352.755,483.895,559.012,646.035,725.135,893.02,964.291,895.494,984.021,972.538,802.498,1055.433,1208.947,1312.318,1858.118,1573.46,1792.385
,GNI,2457.9,2623.9,2857.4,3171.6,3505.1,3896.3,5095.44466,5850.75249,6770.71674,7609.7301,8621.42243,9883.42347,11445.06011,12953.52282,14332.238,16142.043,21730.75,24045.571,27447.912,30723.235,33017.012,37159.96551,41290.62368,46700.80216
,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Output (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,25.51694,24.09796,22.73072,21.75458,21.03616,20.14117,19.0084,18.70609,18.47224,17.86878,17.8105,17.71316,17.09396,16.27606,16.10817,15.51,14.06,13.56,13.09,12.52,12.44,12.09,11.66364644,11.37804117
,               Industry,25.28525,25.93878,26.41166,26.2635,26.6051,27.22518,25.3972,25.73827,25.95879,26.42566,26.1445,26.39096,26.74366,27.63623,27.60732,28.15,32.45,32.69,33.54,34.34,34.13,34.61,35.26884414,35.77118843
,               Services,49.19781,49.96327,50.85762,51.98192,52.35874,52.63365,55.5944,55.55564,55.56897,55.70556,56.045,55.89588,56.16238,56.08771,56.28451,56.35,53.49,53.75,53.37,53.15,53.42,53.3,53.06750942,52.8507704
,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at current market prices,2370.856,2535.46,2732,3005.8,3329.7,3707.1,4823.36966,5497.997,6286.822,7050.718,7975.387,9158.288,10552.034,11989.272,13436.744,15158.022,20758.212,23243.073,26392.479,29514.288,31704.694,35301.848,39717.164,44908.417
,     Final consumption expenditure,1946.914,2079.2,2235.9,2445.7,2679.3,2965.1,3789.40256,4357.30646,5080.41782,5617.13686,6315.70707,7269.65819,8312.5,9347.273,10468.575,11799.237,15097.392,16952.16,19411.358,21579.552,23119.823,26355.718,29698.75041,33340.22698
,          Household final consumption,1838.528,1964.9,2099.3,2285,2495.2,2759.8,3527.00746,4062.64372,4754.86877,5257.99125,5910.93019,6802.81934,7780.747,8733.888,9751.386,10980.061,13879.862,15552.385,17838.586,19738.395,21226.67,24278.999,27435.26901,30796.08946
,          NPISHs final consumption,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          General government final consumption,108.386,114.3,136.6,160.7,184.1,205.3,262.3951,294.66274,325.54905,359.14561,404.77688,466.83885,531.753,613.385,717.189,819.176,1217.531,1399.775,1572.772,1841.157,1893.153,2076.719,2263.481409,2544.137517
,"     Gross capital formationl,m",545.865,585.36,632.4,703.5,799.9,909.2,1261.02879,1439.29298,1647.29016,1847.71518,2093.2724,2511.29171,2982.3,3403.7,3840,4378.651,6277.233,7193.004,8398.768,9507.653,9926.087,10950.188,12728.26902,13899.69411
,          Gross fixed capital formationm,545.865,585.36,632.4,703.5,799.9,909.2,1261.02879,1439.29298,1647.29016,1847.71518,2093.2724,2511.29171,2982.3,3403.7,3840,4378.651,6277.233,7193.004,8398.768,9507.653,9926.087,10950.188,12728.26902,13899.69411
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,608.02,796.211,879.912,1033.929,1356.679,1693.581,1815.423,2055.377,2312.017,2583.368,2991.558859,3038.893369
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,2374.233,2607.486,2960.024,3344.722,4920.555,5499.423,6583.344,7452.276,7614.069,8366.82,9736.710164,10860.80075
,          Changes in inventoriesn,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Exports of goods and services,331.446,390,390,427.2,514.9,614.7,788.788,934.403,1110.181,1194.401,1277.985,1824.521,2127.459,2342.441,2551.592,2627.897,2889.793,2979.703,3345.191,3864.824,3310.854,3764.158,5116.455,5908.674
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Less: Imports of goods and services,455.852,545.1,520.4,602.2,693,854.3,1049.491,1261.628,1569.32,1632.429,1736.938,2518.417,2949.225,3208.142,3429.651,3751.508,3614.616,3993.156,5236.227,5455.213,5018.428,6022.928,8299.99,8005.288
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Statistical discrepancy,2.483,26,-5.9,31.6,28.6,72.4,33.64131,28.62256,18.25302,23.89396,25.36053,71.2341,79,104,6.292,103.745,108.409,111.362,473.389,17.472,366.358,254.711,473.6795627,-234.8900909
,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,77.54701,77.49679,76.84114,76.0197,74.93768,74.44633,73.12331,73.89316,75.63231,74.57384,74.11465,74.28047,73.7369,72.84777,72.57273,72.44,66.86,66.91,67.59,66.88,66.95,68.78,69.07660629,68.57531732
,               Government final consumption,4.5716,4.50806,5,5.34633,5.52903,5.53802,5.44008,5.35946,5.17828,5.09375,5.07533,5.09745,5.03934,5.11613,5.33747,5.4,5.87,6.02,5.96,6.24,5.97,5.88,5.699000586,5.665168552
,               Gross capital formationo,23.02451,23.08657,23.14788,23.40475,24.02391,24.52657,26.14415,26.1785,26.20227,26.20606,26.24666,27.42097,28.3,28.4,28.6,28.88669115,30.24,30.95,31.82,32.21,31.31,31.02,32.04727564,30.95120034
,                    Changes in inventoriesn,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,13.98001,15.38182,14.27526,14.21252,15.46386,16.58169,16.35346,16.99533,17.65886,16.94013,16.02411,19.92207,20.16159,19.53787,18.98971,17.34,13.92,12.82,12.67,13.09,10.44,10.66,12.88222643,13.15716383
,               Imports of goods and services,19.22732,21.49906,19.04832,20.0346,20.81269,23.04497,21.75846,22.94705,24.96206,23.15266,21.77873,27.49877,27.95,26.76,25.52,24.75,17.41,17.18,19.84,18.48,15.83,17.06,20.89774084,17.82580758
,               Statistical discrepancy,0.10473,1.02545,-0.21596,1.0513,0.85894,1.95301,0.69746,0.5206,0.29034,0.33889,0.31798,0.77781,0.7,0.9,0.046826821,0.684423073,0.522246328,0.479119091,1.793651138,0.059198447,1.155532364,0.721523134,1.192631888,-0.523042464
,,,,,,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 1995/1996 | 2005/2006 | 2015/2016 market prices,2049.277,2157.354,2252.6,2371.1,2519.7,2669.7,4823.36966,5163.83196,5474.3727,5750.56209,6070.97219,6463.42285,6884.93231,7298.965,7741.361,8248.624,20758.212,22126.229,23745.74,25617.356,26500.649,28339.44396,30351.49599,32104.32889
,"     Agriculture, forestry, and fishing",504.3,520.1,520.1,536.1,558.1,570.4,869.84728,928.06178,969.76765,1003.38065,1065.10821,1112.57365,1146.10914,1174.35979,1225.702,1266.498,2795.05,2884.38,2986.618,3083.999,3189.501,3290.754075,3391.252213,3505.586292
,     Mining and quarrying,20.3,22.3,23.3,24.9,26.8,29.1,70.09194,74.33351,80.03357,88.40855,95.61097,99.06922,105.9301,115.83879,121.265,132.901,330.526,387.669,424.694,472.709,487.657,519.3154767,513.5219226,578.8834836
,     Manufacturing,303.7,324,341.7,364.8,390.7,422.7,738.34031,816.12532,875.95785,934.58922,996.70918,1096.51351,1205.6738,1329.94128,1446.534,1595.68,4223.87,4523.191,4995.976,5612.204,5706.535,6367.645095,7094.245968,7725.22177
,"     Electricity, gas, steam, and air-conditioning supplyc",28.3,30.4,32.7,35.3,38.5,41.9,55.52701,58.31045,62.83909,67.39889,74.11801,78.952,87.284,95.365,99.317,105.27,245.546,262.905,284.658,308.124,310.201,339.8034348,360.7022243,369.5886048
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,5.071,5.625,5.892,6.536,7.164,21.032,21.796,22.441,23.857,24.376,25.99553658,28.47475208,31.00260939
,     Construction,154.6,168,182.4,197.2,213.5,231.2,298.24712,318.3591,337.42177,359.61568,385.54195,412.35,447.089,483.046,522.087,566.983,1628.426,1787.343,1967.101,2173.144,2371.462,2563.04842,2786.275711,2980.794074
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesd,263.3,280.2,298.7,316.9,337.7,361.6,623.51659,675.70994,724.81442,767.284,812.19299,866.497,924.574,981.731,1047.757,1114.256,2885.1,3122.247,3395.047,3695.607,3814.389,4105.895659,4453.170314,4737.156143
,     Transportation and storagee,181.4,195.8,208.6,222.9,236.8,255.5,464.97186,508.7794,550.78536,595.13551,640.05886,554.448,594.337,626.079,657.645,696.589,1580.296,1677.1,1790.096,1915.556,1948.698,2027.394698,2143.986337,2261.637049
,     Accommodation and food service activitiesf,,,,,,,,,,,,46.079,49.021,52.204,55.701,59.504,238.86,251.73,265.636,280.61,285.346,298.2781126,314.2832266,332.6502409
,     Information and communicationg,,,,,,,,,,,,139.645,163.271,179.061,196.179,208.159,248.337,269.075,287.286,308.422,328.686,352.0571878,368.9110444,392.3453191
,     Financial and insurance activities,31,32.7,34.9,37.2,39.8,43.4,142.15897,151.39002,157.32662,157.28294,167.10665,184.559,211.797,231.097,247.902,267.192,650.716,685.235,732.783,793.237,830.679,879.0097255,930.6143666,954.325272
,     Real estate activitiesh,,,,,,,,,,,,,,,,,1925.094,1989.206,2058.413,2132.677,2211.091,2286.67495,2371.342615,2458.696146
,"     Professional, scientific, and technical activitiesi",,,,,,,,,,,,457.896,475.864,495.089,516.147,538.88,39.06,40.61,42.269,44.032,45.521,47.83635898,49.87125291,54.26090753
,     Administrative and support service activitiesj,,,,,,,,,,,,,,,,,142.438,151.553,163.289,176.631,187.808,199.1099623,211.082937,226.9361872
,     Public administration and defense; compulsory social security,50.3,53.2,56.4,59.3,63.5,68.6,140.88952,152.93172,162.89059,174.47073,188.82323,205.518,220.994,235.419,251.646,276.365,667.295,742.202,806.56,858.9,906.023,960.814,1008.02345,1078.904149
,     Education,,,,,,,,,,,,136.588,147.1,156.447,167.809,181.25,544.789,577.218,611.202,654.343,689.242,729.3178533,786.7457341,830.2144213
,     Human health and social work activities,,,,,,,,,,,,120.801,125.402,131.367,138.021,145.174,546.003,602.421,657.834,738.094,817.037,903.6388914,992.8859083,1064.573662
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,30.071,31.568,33.223,35.044,36.948,39.07722902,41.44947151,44.07534447
,     Other service activitiesk,434.5,451.7,470.1,489.8,512.1,536.6,1172.52997,1220.24146,1269.34152,1316.53453,1368.98287,662.646,684.2,706.426,729.554,753.518,1131.766,1167.31,1204.885,1244.287,1282.423,1321.975091,1364.097501,1408.335136
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Gross value added at basic prices,1971.7,2078.4,2168.9,2284.4,2417.5,2561,4576.12057,4904.2427,5191.17844,5464.1007,5794.25292,6179.20638,6594.30904,6999.36286,7429.801,7915.384,19874.276,21174.759,22730.011,24551.474,25473.623,27257.64176,29210.93695,31035.18681
,Taxes and duties on imports,77.7,79.1,83.7,86.5,102.2,108.8,247.2491,259.58926,283.19426,286.46137,276.71926,284.217,290.624,299.602,311.56,333.24,883.937,951.47,1015.729,1065.882,1027.026,1081.802202,1140.55904,1069.142078
,Net factor income from abroad,75.1,75.2,103.4,130.8,132.8,136.3,272.075,331.31473,421.36101,455.9299,491.77053,511.76092,582.67237,587.05398,515.92,535.48,972.538,763.937,949.59,1049.323,1096.913,1491.650852,1202.423841,1281.348156
,GNI,2124.4,2232.6,2356,2501.8,2652.5,2806.1,5095.44466,5495.14668,5895.73372,6206.49199,6562.74272,6975.18377,7467.60468,7886.01896,8257.28,8784.104,21730.75,22890.166,24695.33,26666.679,27597.562,29831.09481,31553.91983,33385.67704
,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Outputp (% annual change),,,,,,,,,,,,,,,,,,,,,,,,
,               GDP,5.95047,5.27471,4.40788,5.25171,6.2761,5.95706,6.67193,7.0586,6.01377,5.04513,5.5718,6.46438,6.52146,6.01361,6.06108,6.55,7.11,6.59,7.32,7.88,3.45,6.94,7.099828896,5.775112039
,               Agriculture,7.38927,3.13306,–,3.07633,4.10371,2.20391,5.50168,6.6925,4.49387,3.46609,6.15196,4.4564,3.01423,2.46492,4.37176,3.33,2.79,3.2,3.54,3.26,3.42,3.17,3.053954676,3.371441337
,               Industry,6.1793,7.45709,6.49899,7.25737,7.60206,8.27483,9.79785,9.02783,7.03353,6.91317,7.0322,9.01915,9.43559,9.63934,8.15909,9.67,11.09,8.27,10.2,11.63,3.61,10.29,9.855659552,8.367351451
,               Services,5.4799,5.52837,5.43607,5.37101,5.66557,6.37028,6.60222,6.48511,5.76238,5.07997,5.52883,6.21663,6.57606,5.51416,5.621,5.8,6.25,6.37,6.55,6.88,3.93,5.73,6.256656436,5.37124825
,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 1995/1996 | 2005/2006 | 2015/2016 market prices,2049.277,2157.354,2252.6,2371.1,2519.7,2669.7,4823.36966,5163.83196,5474.3727,5750.56209,6070.97219,6463.42284,6884.93232,7298.96499,7741.352,8248.624,20758.212,22126.229,23745.74,25617.356,26500.649,28339.444,30351.496,32104.329
,     Final consumption expenditure,1584.342,1659.242,1753.2,1825.4,1892.7,1971.3,3789.40256,4059.6187,4219.05708,4326.38103,4532.14688,4827.13267,5022.25048,5282.07129,5507.931,5839.989,15097.392,16055.234,17512.568,18480.278,19017.805,20524.089,22037.607,22593.20775
,          Household final consumption,1497.417,1568.43,1645,1702.9,1757.1,1825.2,3527.00746,3789.20098,3940.02198,4030.31715,4215.87391,4489.555,4674.26741,4913.93588,5110.768,5408.068,13879.862,14750.01,16138.461,16922.051,17429.171,18826.2,20233.744,20635.37712
,          NPISHs final consumption,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          General government final consumption,86.925,90.812,108.2,122.5,135.6,146.1,262.3951,270.41772,279.0351,296.06388,316.27297,337.57767,347.98307,368.13541,397.163,431.921,1217.531,1305.224,1374.107,1558.227,1588.635,1697.889,1803.863466,1957.830628
,"     Gross capital formationl,m",488.003,516.163,558.3,602.2,657.4,727.8,1261.02879,1351.15167,1483.76855,1593.39125,1729.85939,1895.25053,2095.5357,2207.95401,2425.549,2598.219,6277.233,6801.983,7627.262,8152.038,8473.708,9159.297,10226.664,10452.77087
,          Gross fixed capital formationm,488.003,516.163,558.3,602.2,657.4,727.8,1261.02879,1351.15167,1483.76855,1593.39125,1729.85939,1895.25053,2095.5357,2207.95401,2425.549,2598.219,6277.233,6801.983,7627.262,8152.038,8473.708,9159.297,10226.664,10452.77087
,               Public,…,…,…,…,…,…,…,…,…,…,…,…,…,494.605,552.17,612.135,1356.679,1599.576,1668.552,1679.696,1985.393,2165.682,2406.274,2405.783519
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,…,1713.349,1873.379,1986.084,4920.555,5202.408,5958.71,6472.343,6488.315,6993.615,7820.39,8046.987347
,          Changes in inventoriesn,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Exports of goods and services,282.106,324.163,316.7,338.5,380.9,440.3,788.788,891.13849,954.23584,954.50788,963.49452,1246.17561,1402.34954,1436.7344,1482.72,1440.765,2889.793,2836.526,3009.722,3354.53,2767.407,3021.772,3909.948441,4224.019164
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Less: Imports of goods and services,359.959,400.333,355.4,381.7,422.2,502.7,1049.491,1217.26261,1194.12044,1163.07732,1171.06089,1512.46036,1671.54864,1691.91074,1711.678,1766.498,3614.616,3801.282,4711.118,4734.932,4194.697,4835.057,6342.776974,5722.855911
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Statistical discrepancy,54.785,58.119,-20.2,-13.3,10.9,33,33.64131,79.18569,11.43167,39.35924,16.53229,7.32439,36.34524,64.11603,36.83,136.149,108.409,233.768,307.305,365.441,436.427,469.343,520.053,557.1871327
,,,,,,,,,,,,,,,,,,,,,,,,,
